variable,Ant,Ant,Ant,Ant,Ant,GHG,GHG,GHG,GHG,GHG,Nat,Nat,Nat,Nat,Nat,OHF,OHF,OHF,OHF,OHF,Tot,Tot,Tot,Tot,Tot,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-cloud_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,aerosol-radiation_interactions,bc_snow,bc_snow,bc_snow,bc_snow,bc_snow,ch4,ch4,ch4,ch4,ch4,co2,co2,co2,co2,co2,contrails,contrails,contrails,contrails,contrails,h2o_strat,h2o_strat,h2o_strat,h2o_strat,h2o_strat,halogen,halogen,halogen,halogen,halogen,land_use,land_use,land_use,land_use,land_use,n2o,n2o,n2o,n2o,n2o,o3,o3,o3,o3,o3,solar,solar,solar,solar,solar,volcanic,volcanic,volcanic,volcanic,volcanic
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017062400799108386,0.01989306817138849,0.028786187910581594,0.03260667451597495,0.024230432781637126,0.0,0.0,0.0,0.0,0.0,0.017062400799108386,0.01989306817138849,0.028786187910581594,0.03260667451597495,0.024230432781637126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003858874257580742,0.00545039319841385,0.010387519270702281,0.012262465607658733,0.007871125190975655,0.01124022187093569,0.01328435421454265,0.019618616568112833,0.022301004947561067,0.01635772295116825
1751,0.00012569514620211213,0.0001948476238939061,0.00103102539658419,0.0018163396804985693,0.00043797909702698336,0.00012402817321082978,0.00014026935732835375,0.00018298275199329944,0.00020132523167222914,0.00016328473746475634,0.0444503039706043,0.05159952491942199,0.07387043270462766,0.08239337415383167,0.06255341148053772,-3.358395371833141e-05,3.5994497503108e-05,0.0008667083024068642,0.0016520882362127502,0.0002754573032930205,0.04489341995742346,0.05213605062044823,0.07457950340572234,0.08317186118008989,0.06317235226819792,2.5566297568663238e-05,5.3337970365220184e-05,0.0008806068460852083,0.0016761562589322808,0.00029762724046952663,-2.5382493874571554e-05,3.1879189084392103e-06,0.00010211429895824796,0.0001373689898688442,5.0825958346492226e-05,-7.13291848614951e-05,-5.0887303882627824e-05,-1.131120258394235e-05,-5.353080574865549e-08,-2.9547131432432914e-05,2.983371762173825e-05,3.42436281546278e-05,4.815741327656667e-05,5.410349335704734e-05,4.1185199171620073e-05,8.737127529452604e-05,9.89592638038242e-05,0.00013053721334654078,0.0001440867002356891,0.0001156206763323263,0.0,0.0,0.0,0.0,0.0,-1.7858832217793026e-08,1.0939749420745003e-06,4.468796065261827e-06,5.766021802789862e-06,2.7685509546178307e-06,3.023268648901924e-11,4.40072789731967e-11,8.713721937996921e-11,1.0563135384465876e-10,6.46526057138964e-11,-2.1929255478379926e-05,-1.6508511300822958e-05,-2.9480932512678004e-06,7.973842157350115e-07,-9.589910328674467e-06,4.548379049001921e-06,5.1642434977176505e-06,6.909083509399349e-06,7.69381653833846e-06,6.054106555577483e-06,-5.695195025426596e-05,-4.7466586865702664e-05,-2.506434355330471e-05,-1.7498350072197034e-05,-3.5403499968625135e-05,0.009093032749657302,0.012792695387156654,0.024197709739752625,0.028366611891747332,0.018426933887259456,0.03050593714092889,0.035897748341590624,0.05268612803807381,0.05910657056671021,0.04410568355436377
1752,0.0004924784365581778,0.0007043948050801574,0.0031914578079976497,0.005720529753672243,0.0014336254593423628,0.0004414319866033146,0.0004948450283086772,0.0006450404145015879,0.000702025785677099,0.0005777622061115986,0.05906583082660698,0.0684602692474366,0.09799652337022562,0.10856657392894305,0.08321270472166556,-6.894216901085572e-05,0.0001430742153704201,0.0026014748416034366,0.005148557115642418,0.000862382372744597,0.060535690705143745,0.0701574209587582,0.10040123684947354,0.11123669817169275,0.0851615934155382,7.491364496296908e-05,0.00015658881301582557,0.0026042842783677404,0.005181825679829183,0.0008913325320493695,-6.144657490141182e-05,2.5644543643426548e-05,0.00032556609904602025,0.0004320628860569176,0.0001709874766299651,-0.00020267442945908938,-0.00014501169174846687,-3.237174360888406e-05,-1.5784774203894654e-07,-8.470498171803483e-05,0.00010589448740663655,0.00012115149978309165,0.00016945488503257957,0.00018801976459560782,0.00014546901837092778,0.0003104742795926797,0.00034916541758257255,0.0004601744610051406,0.0005017535081576555,0.00040881485943702265,0.0,0.0,0.0,0.0,0.0,-5.886805267987711e-08,3.8641808045175266e-06,1.5729615347188827e-05,2.0226454915934915e-05,9.780636074901613e-06,1.0684313537579766e-10,1.5557156783251907e-10,3.067445198875325e-10,3.697955569840622e-10,2.282053836943381e-10,-7.682405926005976e-05,-5.8230278850637076e-05,-1.0737853931234427e-05,2.4236057036827784e-06,-3.407600587969287e-05,1.6188595956750798e-05,1.824551598004229e-05,2.4359195547885432e-05,2.6728964540150555e-05,2.139379710552377e-05,-0.00013871654336992936,-0.00011607151105922183,-6.171717614425514e-05,-4.316820443558413e-05,-8.697391922258325e-05,0.010016267785459445,0.014159279536123521,0.026951110306336148,0.03161826678754507,0.02045570132552423,0.04322353354983437,0.050771548845458044,0.07463576607265081,0.08344023565191129,0.0626030594757396
1753,0.0010033467712043382,0.001309682446657045,0.004737476812050576,0.008196564318346733,0.002317529234923744,0.000868194802024064,0.0009673084455653275,0.001265417435523591,0.0013575932524991414,0.0011360698182230778,0.055201786412462865,0.06459821592383101,0.09518530700715672,0.10638586352537314,0.07982600316402878,-7.426430933288272e-05,0.00020941633794010776,0.0035732008962716666,0.007066742941195979,0.0011963526876619989,0.057639314266799364,0.06717401381628398,0.09872999244271077,0.1104360223698767,0.08284490494598333,0.00010281885447827582,0.0002142186706480335,0.0035720361605023577,0.007122109441208931,0.001220219666617577,-8.227853498009213e-05,3.784990038340998e-05,0.00044922633126138464,0.0005941750259780231,0.00023765035905600254,-0.00027602921665198716,-0.00019742599350766667,-4.405808283197305e-05,-2.191083020974476e-07,-0.00011535880017530483,0.000208349953286241,0.0002376052879875411,0.0003318803537308369,0.0003650691348163231,0.0002854841729433759,0.0006100600786864344,0.0006822181856025856,0.0009024727242156811,0.000970997613962503,0.0008038629982770546,0.0,0.0,0.0,0.0,0.0,-1.0800599991175981e-07,7.58046257646285e-06,3.082803403300069e-05,3.9553492574751616e-05,1.918322249784847e-05,2.0985702094483128e-10,3.050296624226246e-10,5.997926026991309e-10,7.225702845483102e-10,4.470797544373309e-10,-0.00015046598934898814,-0.00011419034408281492,-2.185902789057826e-05,3.844440948907688e-06,-6.724208577370412e-05,3.179875625212934e-05,3.5722380521125055e-05,4.77223497231698e-05,5.183222102872066e-05,4.2059201434195684e-05,-0.00014743105905429222,-0.00012343707207912279,-6.537772419273842e-05,-4.55065611072341e-05,-9.247942732632303e-05,0.00816755721064541,0.01160864108191686,0.022807765726944557,0.02700986319221298,0.016957051144550747,0.042448097866617684,0.05013928415070994,0.07537931447964082,0.08475960152139073,0.062564312825215
1754,0.0015529743542222973,0.0018594997284050528,0.0045043703119224746,0.00679286154168556,0.002639839571577815,0.0013602664455181445,0.0015152916799201362,0.001993937711237624,0.0021272238303598205,0.0017895601339190626,0.029027278914618482,0.036161363760734144,0.06341903792377158,0.0725525961476425,0.05082359735122744,-7.250489119583242e-05,0.00012419169141575885,0.0026789054202475972,0.004969490142314337,0.0008643500345309773,0.031516566490657656,0.03892928512300957,0.06712503952921371,0.07669984655360233,0.05403253727444035,7.238394976910439e-05,0.00015493919151369286,0.002689306247006555,0.005023573992170479,0.0008963317092944148,-8.701034646238738e-05,-1.094937456487497e-06,0.0003003257682529739,0.00041201427187824126,0.0001418749197493165,-0.0002210175407799689,-0.0001575686033330862,-3.479941780038565e-05,-1.6060871278740757e-07,-9.097953580523659e-05,0.00032692503812781063,0.0003727941214235411,0.000522520955734569,0.0005734021344603262,0.000449346699153799,0.0009577341958642412,0.0010694950889177971,0.0014211790542271847,0.0015231066774778039,0.00126567759106036,0.0,0.0,0.0,0.0,0.0,-1.68928879229765e-07,1.1896811040274971e-05,4.8479926546450215e-05,6.224384142446537e-05,3.0155726260733415e-05,3.3001526231296433e-10,4.799002247103485e-10,9.435463701617466e-10,1.1370006860825089e-09,7.033032497335093e-10,-0.00023683031548848903,-0.000179836746094499,-3.5754262857206735e-05,4.530255522779803e-06,-0.00010668166350770485,4.979316058776579e-05,5.596627101128133e-05,7.51416539084579e-05,8.13717151831453e-05,6.625055994624306e-05,-2.5873089903238914e-05,-1.801217599482131e-05,1.529320491805403e-06,1.6869533428444066e-05,-6.9738885886788435e-06,0.004215910686154293,0.0062205521725372465,0.014455313329792892,0.01758350692271942,0.010122557793780157,0.023172856761215537,0.028878539779436965,0.050493895038511025,0.05812124870733063,0.04021051500579738
1755,0.0021593576766732007,0.002505102186890406,0.004224958664221358,0.0057136334195751,0.003102972573085633,0.0018968736124045523,0.002111601424291334,0.0028054220546101694,0.003002942413092422,0.002511054444019044,0.012392323793289478,0.02014865809718871,0.043162559190506974,0.05043150529220589,0.032138559025333205,-5.901692054418434e-06,0.00014460007616659727,0.0016427286140401542,0.003096822379637175,0.0005592155321558147,0.015130221175239603,0.023114821632065106,0.04704012550885305,0.05467264238522092,0.03556410902048861,3.5754634003523465e-05,8.470278177283404e-05,0.0015612971104013852,0.003045848895473737,0.0004866195111110839,-4.157181337902692e-05,7.5921137907505745e-06,0.0001855236620205326,0.0002639856394198372,8.631026493673319e-05,-0.000126460393256164,-8.812684940927137e-05,-1.731347473156014e-05,-5.588588304901379e-08,-4.6912205662892255e-05,0.00045611155629136316,0.0005214929736382387,0.0007352612952421081,0.0008074301727200901,0.0006305083585906078,0.0013363331785320677,0.0014927985088440847,0.002001228407641169,0.002147788741284353,0.0017760221947175979,0.0,0.0,0.0,0.0,0.0,-2.3880084338594446e-07,1.665012800989692e-05,6.808741841962272e-05,8.747326590269626e-05,4.226926911431392e-05,4.6241060865352045e-10,6.739019406201161e-10,1.3273120483424403e-09,1.5982138169073688e-09,9.865796977357625e-10,-0.00033249401197883304,-0.00025277639055742155,-5.223351347546029e-05,4.390813438070237e-06,-0.00015078040641330553,6.943220404338677e-05,7.824258631664522e-05,0.00010569424228162886,0.00011467939060351748,9.295906722983624e-05,6.334822788668525e-05,9.074560466686396e-05,0.00017482709677710747,0.0002125822551029942,0.00012903093720958053,-0.0027866007098698875,-6.471297626107804e-05,0.004793116790218704,0.006520781549770132,0.002417511537187991,0.0144188979311837,0.019881793742018213,0.03882617143819391,0.04519238148643662,0.029458402481252137
1756,0.002848057767702129,0.0033146497719332567,0.005668902098804345,0.00782162492156979,0.0041331907677893895,0.0024689562786569855,0.0027473210047030392,0.0036888480624375514,0.0039678761890816,0.0032877105390327803,0.005433590641914686,0.011692796371327476,0.03249109956486351,0.039519295355230744,0.02167651313573077,1.2941817535893729e-05,0.00022182648646602358,0.0022594550552140994,0.004420732414728905,0.0008034059443426281,0.009210620846537928,0.015703941484338856,0.03767336480009796,0.04524606001989517,0.026170171213757924,5.658115975783185e-05,0.00012365104024830034,0.00212278181036197,0.004354373655614627,0.0007008809284675874,-4.3579608130676944e-05,2.9035521139369908e-05,0.0002744125096713619,0.00037494280304026614,0.0001450792362758877,-0.0001609359418066194,-0.00011339838164473415,-2.442435050041761e-05,-1.0284391870229025e-07,-6.373774122924555e-05,0.0005936918951699299,0.0006799972651309966,0.0009655636469036846,0.0010641300060287037,0.0008255958128082889,0.001738896270080177,0.0019441677929001137,0.002629435860876064,0.002837216000840189,0.002325462160020493,0.0,0.0,0.0,0.0,0.0,-3.154459981923365e-07,2.1783017558960204e-05,8.927833391543803e-05,0.00011481292059638829,5.530875087781437e-05,6.052695638132983e-10,8.800967488919624e-10,1.7413689932123239e-09,2.100735761831834e-09,1.2920772445099546e-09,-0.0004362806696781266,-0.00033157061005180145,-7.097051421270953e-05,3.797821811106518e-06,-0.00019918010541927056,9.037538030916705e-05,0.00010185015862378314,0.00013895396838611209,0.000151228741771772,0.00012175569913700944,7.980514203915122e-05,0.00011462525827362629,0.000215627693256521,0.00025667088777244857,0.00016154991630677517,-0.00995136745423409,-0.0070086058319435525,-0.0023603495191821594,-0.0011137270112568363,-0.004194740484066328,0.013306295812547294,0.018154612010249187,0.03554083740285616,0.04192765383435387,0.026071367339617933
1757,0.003394964832922826,0.003877672373160033,0.005777796715082963,0.007344116693171478,0.004745651124538291,0.0030677982894572976,0.003411598104067268,0.0046367335441455035,0.005008950323473243,0.0041095869420458885,0.009821043241600722,0.01525373488894004,0.03592370890010445,0.044056830238025195,0.024172893436605503,4.138954397441966e-05,0.0002147627120870478,0.0013714324393228005,0.0030217827218024487,0.0005506323481321502,0.014079562614122916,0.019514084887534797,0.04148759352569173,0.05005816288410614,0.02901253125912021,-1.2764401430476427e-05,3.0198726247922475e-05,0.0010506478077512082,0.0027275856595907915,0.00021579654607640461,2.5666163551968e-05,7.086018998896856e-05,0.00021122473379193169,0.0002797204995765702,0.00013241250654861977,-4.460586304263417e-05,-2.763219724103169e-05,1.7318259412369535e-06,1.4333517638418894e-05,-9.979852485156557e-06,0.0007380369160099159,0.0008458224803820962,0.0012116170421364344,0.0013399750333792102,0.0010320091366797807,0.0021606004231253598,0.002416660085207362,0.0033051219909721007,0.0035827437987622094,0.002905629137666045,0.0,0.0,0.0,0.0,0.0,-3.9778082104691934e-07,2.7241161346068852e-05,0.00011171387866098858,0.00014379856130043836,6.912603963498774e-05,7.541033689315556e-10,1.0997276370203975e-09,2.181593542859561e-09,2.641442229197943e-09,1.6138643265390888e-09,-0.0005474145252487498,-0.00041576363101146653,-9.175696885631411e-05,2.624157512339905e-06,-0.0002510567214737096,0.0001122615474275958,0.0001265579536718907,0.0001746501817464266,0.00019081824898712252,0.0001522367912390501,0.00016212392397303872,0.00023191171177735104,0.00043460859120337115,0.0005178909119440006,0.00032644283422912895,-0.0133855828244847,-0.010775391621300421,-0.005152391755247702,-0.0036292868216726243,-0.007676214198989471,0.019883969803406207,0.024127749774079464,0.04264209634181088,0.050263645765257374,0.03224175676878899
